Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2
717226,1586072,2023-07-04,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5684,2.235,2.4147,0,"2,41","2,42","1036,314844","98,13","1167,68",0,1900-01-01,0.33340000000000014,-2.0812999999999997,-1.6665999999999999
718010,1587637,2023-07-05,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6379,2.236,2.4082,"0,02","2,38","2,43","1037,305597","98,17","1163,05",0,1900-01-01,0.4018999999999999,-2.0063,-1.5981
718791,1589199,2023-07-06,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6267,2.23,2.4009,"0,01","2,39","2,41","1038,310576","98,21","1159,77",0,1900-01-01,0.39670000000000005,-2.0042,-1.6033
719572,1590760,2023-07-07,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6339,2.2312,2.4011,"0,03","2,37","2,43","1038,83918","98,2","1164,15",0,1900-01-01,0.4027000000000003,-1.9983999999999997,-1.5972999999999997
720352,1592320,2023-07-10,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6372,2.2362,2.4011,"0,02","2,38","2,42","1039,488507","98,2","1161,68",0,1900-01-01,0.4009999999999998,-2.0001,-1.5990000000000002
721132,1593880,2023-07-11,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6161,2.2197,2.4095,"0,05","2,36","2,46","1039,714818","98,17","1160,94",35,1900-01-01,0.39639999999999986,-2.0131,-1.6036000000000001
721912,1595439,2023-07-12,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5695,2.2267,2.4019,"0,02","2,38","2,43","1040,683253","98,2","1160,88",10,1900-01-01,0.3428,-2.0591,-1.6572
722690,1596995,2023-07-13,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5671,2.215,2.4031,"0,04","2,36","2,45","1041,299273","98,2","1157,07",40,1900-01-01,0.3521000000000001,-2.0509999999999997,-1.6479
723468,1598551,2023-07-14,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5601,2.198,2.389,"0,08","2,31","2,47","1042,627387","98,27","1153,61",45,1900-01-01,0.36209999999999987,-2.0269,-1.6379000000000001
724244,1599327,2023-07-17,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5543,2.1567,2.3791,"0,08","2,3","2,46","1043,694016","98,31","1154,22",15,1900-01-01,0.3976000000000002,-1.9815,-1.6023999999999998
725019,1600877,2023-07-18,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5543,2.1567,2.3658,"0,08","2,28","2,45","1044,908752","98,37","1155,74",5,1900-01-01,0.3976000000000002,-1.9682,-1.6023999999999998
725794,1602427,2023-07-19,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5817,2.172,2.3578,"0,06","2,3","2,42","1045,947265","98,41","1152,38",0,1900-01-01,0.40969999999999995,-1.9481000000000002,-1.5903
